time, value
-0.0100500625, -0.02010050304
-0.0100495625, -0.02010050304
-0.0100490625, -0.04020100608
-0.0100485625, -0.02010050304
-0.0100480625, -0.02010050304
-0.0100475625, -0.02010050304
-0.0100470625, -0.04020100608
-0.0100465625, -0.04020100608
-0.0100460625, -0.04020100608
-0.0100455625, -0.04020100608
-0.0100450625, -0.04020100608
-0.0100445625, -0.02010050304
-0.0100440625, -0.04020100608
-0.0100435625, -0.04020100608
-0.0100430625, -0.04020100608
-0.0100425625, -0.02010050304
-0.0100420625, -0.02010050304
-0.0100415625, -0.02010050304
-0.0100410625, -0.06030150912
-0.0100405625, -0.04020100608
-0.0100400625, -0.02010050304
-0.0100395625, -0.02010050304
-0.0100390625, -0.02010050304
-0.0100385625, -0.02010050304
-0.0100380625, -0.02010050304
-0.0100375625, -0.02010050304
-0.010037062499999999, -0.02010050304
-0.0100365625, -0.04020100608
-0.0100360625, -0.02010050304
-0.0100355625, -0.04020100608
-0.0100350625, -0.02010050304
-0.0100345625, -0.06030150912
-0.0100340625, -0.02010050304
-0.0100335625, -0.06030150912
-0.0100330625, -0.02010050304
-0.0100325625, -0.02010050304
-0.0100320625, 0.0
-0.0100315625, -0.04020100608
-0.0100310625, -0.04020100608
-0.0100305625, -0.02010050304
-0.0100300625, -0.04020100608
-0.0100295625, -0.04020100608
-0.0100290625, -0.04020100608
-0.0100285625, -0.04020100608
-0.0100280625, -0.02010050304
-0.0100275625, -0.02010050304
-0.0100270625, -0.04020100608
-0.0100265625, -0.04020100608
-0.0100260625, -0.02010050304
-0.0100255625, -0.02010050304
-0.0100250625, -0.02010050304
-0.0100245625, -0.02010050304
-0.0100240625, -0.02010050304
-0.0100235625, -0.04020100608
-0.0100230625, -0.02010050304
-0.0100225625, -0.02010050304
-0.0100220625, 0.0
-0.0100215625, 0.0
-0.0100210625, -0.04020100608
-0.0100205625, -0.02010050304
-0.0100200625, -0.04020100608
-0.0100195625, -0.02010050304
-0.0100190625, -0.04020100608
-0.0100185625, 0.0
-0.0100180625, -0.02010050304
-0.0100175625, -0.02010050304
-0.0100170625, -0.02010050304
-0.0100165625, -0.02010050304
-0.0100160625, -0.04020100608
-0.0100155625, 0.0
-0.0100150625, -0.04020100608
-0.0100145625, -0.04020100608
-0.0100140625, -0.04020100608
-0.0100135625, -0.04020100608
-0.0100130625, -0.04020100608
-0.0100125625, -0.02010050304
-0.0100120625, -0.04020100608
-0.0100115625, -0.02010050304
-0.010011062499999999, -0.04020100608
-0.0100105625, -0.04020100608
-0.0100100625, -0.02010050304
-0.0100095625, 0.0
-0.0100090625, -0.02010050304
-0.0100085625, -0.02010050304
-0.0100080625, -0.02010050304
-0.0100075625, -0.04020100608
-0.0100070625, -0.02010050304
-0.0100065625, -0.02010050304
-0.0100060625, -0.02010050304
-0.0100055625, -0.02010050304
-0.0100050625, -0.04020100608
-0.0100045625, -0.04020100608
-0.0100040625, -0.04020100608
-0.0100035625, -0.04020100608
-0.0100030625, -0.02010050304
-0.0100025625, -0.04020100608
-0.0100020625, -0.04020100608
-0.0100015625, -0.06030150912
-0.0100010625, -0.02010050304
-0.0100005625, -0.02010050304
-0.0100000625, -0.04020100608
-0.0099995625, -0.02010050304
-0.0099990625, -0.02010050304
-0.0099985625, -0.02010050304
-0.0099980625, -0.02010050304
-0.0099975625, -0.02010050304
-0.0099970625, -0.04020100608
-0.0099965625, -0.02010050304
-0.0099960625, -0.02010050304
-0.0099955625, -0.02010050304
-0.0099950625, -0.02010050304
-0.0099945625, -0.02010050304
-0.0099940625, -0.02010050304
-0.0099935625, -0.02010050304
-0.0099930625, -0.02010050304
-0.0099925625, -0.04020100608
-0.0099920625, -0.02010050304
-0.0099915625, -0.04020100608
-0.0099910625, -0.04020100608
-0.0099905625, -0.04020100608
-0.0099900625, -0.02010050304
-0.0099895625, -0.04020100608
-0.0099890625, -0.02010050304
-0.0099885625, -0.02010050304
-0.0099880625, 0.0
-0.0099875625, -0.04020100608
-0.0099870625, -0.04020100608
-0.0099865625, -0.04020100608
-0.0099860625, 0.0
-0.0099855625, -0.04020100608
-0.0099850625, -0.02010050304
-0.0099845625, -0.02010050304
-0.0099840625, -0.04020100608
-0.0099835625, -0.04020100608
-0.0099830625, -0.04020100608
-0.0099825625, -0.04020100608
-0.0099820625, -0.02010050304
-0.009981562499999999, -0.02010050304
-0.0099810625, -0.04020100608
-0.0099805625, -0.02010050304
-0.0099800625, -0.02010050304
-0.0099795625, -0.04020100608
-0.0099790625, -0.04020100608
-0.0099785625, -0.02010050304
-0.0099780625, -0.02010050304
-0.0099775625, -0.04020100608
-0.0099770625, -0.04020100608
-0.0099765625, -0.02010050304
-0.0099760625, -0.02010050304
-0.0099755625, -0.02010050304
-0.0099750625, -0.02010050304
-0.0099745625, -0.04020100608
-0.0099740625, -0.02010050304
-0.0099735625, -0.04020100608
-0.0099730625, -0.02010050304
-0.0099725625, -0.02010050304
-0.0099720625, -0.02010050304
-0.0099715625, -0.02010050304
-0.0099710625, -0.02010050304
-0.0099705625, -0.02010050304
-0.0099700625, -0.02010050304
-0.0099695625, 0.0
-0.0099690625, 0.0
-0.0099685625, -0.02010050304
-0.0099680625, -0.02010050304
-0.0099675625, -0.04020100608
-0.0099670625, -0.02010050304
-0.0099665625, -0.02010050304
-0.0099660625, -0.02010050304
-0.0099655625, -0.04020100608
-0.0099650625, -0.02010050304
-0.0099645625, 0.0
-0.0099640625, 0.0
-0.0099635625, -0.02010050304
-0.0099630625, -0.02010050304
-0.0099625625, -0.02010050304
-0.0099620625, -0.06030150912
-0.0099615625, -0.02010050304
-0.0099610625, -0.04020100608
-0.0099605625, -0.04020100608
-0.0099600625, -0.02010050304
-0.0099595625, -0.02010050304
-0.0099590625, -0.04020100608
-0.0099585625, -0.02010050304
-0.0099580625, -0.02010050304
-0.0099575625, -0.04020100608
-0.0099570625, 0.0
-0.0099565625, -0.04020100608
-0.0099560625, -0.02010050304
-0.0099555625, -0.02010050304
-0.0099550625, -0.02010050304
-0.0099545625, -0.02010050304
-0.0099540625, -0.02010050304
-0.0099535625, -0.02010050304
-0.0099530625, -0.06030150912
-0.0099525625, -0.04020100608
-0.0099520625, -0.02010050304
-0.0099515625, -0.02010050304
-0.0099510625, -0.04020100608
-0.0099505625, -0.02010050304
